60°N 12°W,10 %
60°N 12°W,30 %
65°N 44°E,50 %
59°N 12°W,70 %
59°N 12°W,80 %
58°N 12°W,80 %
58°N 12°W,70 %
58°N 12°W,80 %
57°N 12°W,80 %
57°N 12°W,90 %
56°N 12°W,90 %
56°N 12°W,90 %
56°N 12°W,90 %
55°N 12°W,80 %
55°N 12°W,80 %
54°N 12°W,90 %
54°N 12°W,70 %
54°N 12°W,90 %
53°N 12°W,90 %
53°N 12°W,90 %
52°N 12°W,100 %
52°N 12°W,100 %
52°N 12°W,100 %
51°N 12°W,100 %
51°N 12°W,90 %
50°N 12°W,90 %
50°N 12°W,90 %
49°N 12°W,90 %
49°N 12°W,100 %
48°N 12°W,90 %
48°N 12°W,80 %
47°N 12°W,100 %
47°N 12°W,100 %
46°N 12°W,90 %
46°N 12°W,80 %
45°N 12°W,100 %
45°N 12°W,70 %
44°N 12°W,80 %
44°N 12°W,60 %
43°N 12°W,30 %
43°N 12°W,50 %
42°N 12°W,0 %
42°N 12°W,10 %
41°N 12°W,40 %
41°N 12°W,30 %
40°N 12°W,0 %
40°N 12°W,10 %
39°N 12°W,10 %
39°N 12°W,10 %
38°N 12°W,10 %
38°N 12°W,0 %
37°N 12°W,0 %
60°N 12°W,10 %
60°N 12°W,20 %
59°N 12°W,40 %
59°N 12°W,60 %
59°N 12°W,70 %
58°N 12°W,80 %
58°N 12°W,100 %
58°N 12°W,80 %
57°N 12°W,90 %
57°N 12°W,100 %
56°N 12°W,100 %
56°N 12°W,100 %
56°N 12°W,100 %
55°N 12°W,70 %
55°N 12°W,70 %
54°N 12°W,100 %
54°N 12°W,90 %
54°N 12°W,90 %
53°N 12°W,80 %
53°N 12°W,90 %
52°N 12°W,100 %
52°N 12°W,80 %
52°N 12°W,100 %
51°N 12°W,90 %
51°N 12°W,90 %
50°N 12°W,90 %
50°N 12°W,80 %
49°N 12°W,70 %
49°N 12°W,70 %
48°N 12°W,80 %
48°N 12°W,80 %
47°N 12°W,80 %
47°N 12°W,80 %
46°N 12°W,90 %
46°N 12°W,100 %
45°N 12°W,90 %
45°N 12°W,70 %
44°N 12°W,20 %
44°N 12°W,0 %
43°N 12°W,0 %
43°N 12°W,10 %
42°N 12°W,20 %
42°N 12°W,0 %
41°N 12°W,0 %
41°N 12°W,0 %
40°N 12°W,0 %
40°N 12°W,0 %
39°N 12°W,0 %
39°N 12°W,0 %
38°N 12°W,0 %
38°N 12°W,40 %
37°N 12°W,20 %
60°N 11°W,50 %
60°N 11°W,30 %
59°N 11°W,40 %
59°N 11°W,70 %
59°N 11°W,100 %
58°N 11°W,90 %
58°N 11°W,70 %
58°N 11°W,80 %
57°N 11°W,80 %
57°N 11°W,90 %
56°N 11°W,90 %
56°N 11°W,40 %
