60°N 12°W,0 mm
60°N 12°W,0 mm
59°N 12°W,0 mm
59°N 12°W,0 mm
59°N 12°W,0 mm
58°N 12°W,0.2 mm
58°N 12°W,0.4 mm
58°N 12°W,0.4 mm
57°N 12°W,0.5 mm
57°N 12°W,0.8 mm
56°N 12°W,1.2 mm
56°N 12°W,1.9 mm
56°N 12°W,2 mm
55°N 12°W,1.9 mm
55°N 12°W,1.8 mm
54°N 12°W,1.6 mm
54°N 12°W,1 mm
54°N 12°W,0.8 mm
53°N 12°W,0.8 mm
53°N 12°W,1.4 mm
52°N 12°W,2 mm
52°N 12°W,2 mm
52°N 12°W,2.2 mm
51°N 12°W,2.3 mm
51°N 12°W,0.5 mm
50°N 12°W,2 mm
50°N 12°W,2.7 mm
49°N 12°W,1.4 mm
49°N 12°W,0.8 mm
48°N 12°W,0.9 mm
48°N 12°W,1 mm
47°N 12°W,0.9 mm
47°N 12°W,0.9 mm
46°N 12°W,0.2 mm
46°N 12°W,0.3 mm
45°N 12°W,0.5 mm
45°N 12°W,0.4 mm
44°N 12°W,0.3 mm
44°N 12°W,0 mm
43°N 12°W,0 mm
43°N 12°W,0 mm
42°N 12°W,0 mm
42°N 12°W,0 mm
41°N 12°W,0 mm
41°N 12°W,0 mm
40°N 12°W,0 mm
40°N 12°W,0 mm
39°N 12°W,0 mm
39°N 12°W,0 mm
38°N 12°W,0 mm
38°N 12°W,0 mm
37°N 12°W,0 mm
60°N 12°W,0 mm
60°N 12°W,0 mm
59°N 12°W,0 mm
59°N 12°W,0 mm
59°N 12°W,0.2 mm
58°N 12°W,1.4 mm
58°N 12°W,2.6 mm
58°N 12°W,1.6 mm
57°N 12°W,1 mm
57°N 12°W,1 mm
56°N 12°W,0.6 mm
56°N 12°W,0.5 mm
56°N 12°W,0.3 mm
55°N 12°W,0.2 mm
55°N 12°W,0.3 mm
54°N 12°W,0.5 mm
54°N 12°W,0.3 mm
54°N 12°W,0.5 mm
53°N 12°W,0.7 mm
53°N 12°W,0.8 mm
52°N 12°W,0.9 mm
52°N 12°W,1 mm
52°N 12°W,1.5 mm
51°N 12°W,2.3 mm
51°N 12°W,1.2 mm
50°N 12°W,0.7 mm
50°N 12°W,0.5 mm
49°N 12°W,0.5 mm
49°N 12°W,0.9 mm
48°N 12°W,0.9 mm
48°N 12°W,0.6 mm
47°N 12°W,1.1 mm
47°N 12°W,1 mm
46°N 12°W,0.6 mm
46°N 12°W,0.4 mm
45°N 12°W,0.1 mm
45°N 12°W,0 mm
44°N 12°W,0 mm
44°N 12°W,0 mm
43°N 12°W,0 mm
43°N 12°W,0 mm
42°N 12°W,0 mm
42°N 12°W,0 mm
41°N 12°W,0 mm
41°N 12°W,0 mm
40°N 12°W,0 mm
40°N 12°W,0 mm
39°N 12°W,0 mm
39°N 12°W,0 mm
38°N 12°W,0 mm
38°N 12°W,0 mm
37°N 12°W,0.1 mm
60°N 11°W,0 mm
60°N 11°W,0 mm
59°N 11°W,0.3 mm
59°N 11°W,0.5 mm
59°N 11°W,1.6 mm
58°N 11°W,1.9 mm
58°N 11°W,0.8 mm
58°N 11°W,0.2 mm
57°N 11°W,0 mm
57°N 11°W,0.1 mm
56°N 11°W,0 mm
56°N 11°W,0 mm
56°N 11°W,0 mm
55°N 11°W,0.1 mm
55°N 11°W,0.3 mm
54°N 11°W,0.4 mm
54°N 11°W,0.3 mm
54°N 11°W,0.1 mm
53°N 11°W,0 mm
53°N 11°W,0 mm
52°N 11°W,0.1 mm
52°N 11°W,0.1 mm
52°N 11°W,0.1 mm
51°N 11°W,0.2 mm
51°N 11°W,0.3 mm
50°N 11°W,0.8 mm
50°N 11°W,1.1 mm
49°N 11°W,1 mm
49°N 11°W,0.9 mm
48°N 11°W,1.4 mm
48°N 11°W,1.9 mm
47°N 11°W,0.6 mm
47°N 11°W,0.3 mm
46°N 11°W,0 mm
46°N 11°W,0 mm
45°N 11°W,0 mm
45°N 11°W,0 mm
44°N 11°W,0 mm
44°N 11°W,0 mm
43°N 11°W,0 mm
43°N 11°W,0 mm
42°N 11°W,0 mm
42°N 11°W,0 mm
41°N 11°W,0 mm
41°N 11°W,0 mm
40°N 11°W,0 mm
40°N 11°W,0 mm
39°N 11°W,0 mm
39°N 11°W,0 mm
38°N 11°W,0 mm
38°N 11°W,0.2 mm
37°N 11°W,0.1 mm
60°N 10°W,0.2 mm
60°N 10°W,0.5 mm
59°N 10°W,0.8 mm
59°N 10°W,1.2 mm
59°N 10°W,0.8 mm
58°N 10°W,0.1 mm
58°N 10°W,0 mm
58°N 10°W,0 mm
57°N 10°W,0 mm
57°N 10°W,0 mm
56°N 10°W,0 mm
56°N 10°W,0 mm
56°N 10°W,0 mm
55°N 10°W,0.1 mm
55°N 10°W,0.1 mm
54°N 10°W,0 mm
54°N 10°W,0 mm
